,Academic_Year,LSS_Name,School_Name,Assessment,Student_Group,Tested_Count,Proficient_Pct,Create_Date,Level,Subject,Grade
12527,2021.0,Baltimore County,Baltimore Highlands Elementary,English/Language Arts Grade 3,All Students,71.0,9.9,20220211.0,High,English/Language,3
12546,2021.0,Baltimore County,Baltimore Highlands Elementary,English/Language Arts Grade 4,All Students,58.0,8.6,20220211.0,High,English/Language,4
12565,2021.0,Baltimore County,Baltimore Highlands Elementary,English/Language Arts Grade 5,All Students,55.0,10.9,20220211.0,High,English/Language,5
12581,2021.0,Baltimore County,Riverview Elementary,English/Language Arts Grade 3,All Students,84.0,6.0,20220211.0,Elementary,English/Language,3
12600,2021.0,Baltimore County,Riverview Elementary,English/Language Arts Grade 4,All Students,76.0,6.6,20220211.0,Elementary,English/Language,4
12618,2021.0,Baltimore County,Riverview Elementary,English/Language Arts Grade 5,All Students,72.0,13.9,20220211.0,Elementary,English/Language,5
12636,2021.0,Baltimore County,Relay Elementary,English/Language Arts Grade 3,All Students,117.0,20.5,20220211.0,Elementary,English/Language,3
12653,2021.0,Baltimore County,Relay Elementary,English/Language Arts Grade 4,All Students,83.0,30.1,20220211.0,Elementary,English/Language,4
12670,2021.0,Baltimore County,Relay Elementary,English/Language Arts Grade 5,All Students,83.0,16.9,20220211.0,Elementary,English/Language,5
12685,2021.0,Baltimore County,Lansdowne Elementary,English/Language Arts Grade 3,All Students,73.0,11.0,20220211.0,Elementary,English/Language,3
12702,2021.0,Baltimore County,Lansdowne Elementary,English/Language Arts Grade 4,All Students,80.0,6.3,20220211.0,Elementary,English/Language,4
12720,2021.0,Baltimore County,Lansdowne Elementary,English/Language Arts Grade 5,All Students,82.0,12.2,20220211.0,Elementary,English/Language,5
12737,2021.0,Baltimore County,Halethorpe Elementary,English/Language Arts Grade 3,All Students,46.0,13.0,20220211.0,Elementary,English/Language,3
12754,2021.0,Baltimore County,Halethorpe Elementary,English/Language Arts Grade 4,All Students,44.0,22.7,20220211.0,Elementary,English/Language,4
12772,2021.0,Baltimore County,Halethorpe Elementary,English/Language Arts Grade 5,All Students,48.0,16.7,20220211.0,Elementary,English/Language,5
12790,2021.0,Baltimore County,Lansdowne Middle,English/Language Arts Grade 5,All Students,-1.0,-1.0,20220211.0,Middle,English/Language,5
12805,2021.0,Baltimore County,Lansdowne Middle,English/Language Arts Grade 6,All Students,300.0,28.0,20220211.0,Middle,English/Language,6
12825,2021.0,Baltimore County,Lansdowne Middle,English/Language Arts Grade 7,All Students,278.0,11.2,20220211.0,Middle,English/Language,7
12844,2021.0,Baltimore County,Lansdowne Middle,English/Language Arts Grade 8,All Students,144.0,11.8,20220211.0,Middle,English/Language,8
12863,2021.0,Baltimore County,Arbutus Middle,English/Language Arts Grade 5,All Students,10.0,30.0,20220211.0,Middle,English/Language,5
