,Site_Num,Site_Name,Enrollment,Free,Reduced,TotalFR,FRPercent,Year,Paid,CEP
25,209,Hebbville Elem,489,254,43,297,60.74,Y1819,192.0,
26,210,Powhatan Elem,270,127,21,148,54.81,Y1819,122.0,
27,211,Winfield Elem,525,317,29,346,65.9,Y1819,179.0,
28,213,Winand Elem,512,218,40,258,50.39,Y1819,254.0,
29,214,Hernwood Elem,420,225,36,261,62.14,Y1819,159.0,
30,216,Deer Park Elem,403,192,34,226,56.08,Y1819,177.0,
31,217,New Town Elem,801,248,52,300,37.45,Y1819,501.0,
32,252,Nw Acad Of Health Sciences,828,386,67,453,54.71,Y1819,375.0,
33,253,Woodlawn Middle,575,344,62,406,70.61,Y1819,169.0,
34,254,Deer Park Middle And Mgnt,1288,524,105,629,48.84,Y1819,659.0,
35,256,Windsor Mill Middle,597,287,44,331,55.44,Y1819,266.0,
36,271,Milford Mill Academy,1229,481,93,574,46.7,Y1819,655.0,
37,272,Randallstown High,976,399,69,468,47.95,Y1819,508.0,
38,303,Bedford Elem,316,177,44,221,69.94,Y1819,95.0,
39,304,Wellwood International Mgnt,497,151,24,175,35.21,Y1819,322.0,
40,307,Milbrook Elem,422,234,46,280,66.35,Y1819,142.0,
41,308,Fort Garrison Elem,290,21,1,22,7.59,Y1819,268.0,
42,310,Summit Park Elem,484,63,6,69,14.26,Y1819,415.0,
43,311,Woodholme Elementary,795,422,79,501,63.02,Y1819,294.0,
44,352,Pikesville Middle,986,393,81,474,48.07,Y1819,512.0,
45,353,Sudbrook Magnet Middle,1047,303,87,390,37.25,Y1819,657.0,
46,371,Pikesville High,910,220,37,257,28.24,Y1819,653.0,
47,402,Owings Mills Elem,784,433,72,505,64.41,Y1819,279.0,
48,403,Franklin Elem,440,78,17,95,21.59,Y1819,345.0,
49,404,Chatsworth School,381,91,21,112,29.4,Y1819,269.0,
50,405,Timber Grove Elem,571,252,45,297,52.01,Y1819,274.0,
51,406,Reisterstown Elem,600,308,57,365,60.83,Y1819,235.0,
52,407,Glyndon Elem,541,273,47,320,59.15,Y1819,221.0,
53,408,Cedarmere Elem,565,240,55,295,52.21,Y1819,270.0,
54,410,Lyons Mills Elem,785,213,43,256,32.61,Y1819,529.0,
55,451,Franklin Middle,1257,424,97,521,41.45,Y1819,736.0,
56,452,Owings Mills High,1175,458,63,521,44.34,Y1819,654.0,
57,472,Franklin High,1460,362,60,422,28.9,Y1819,1038.0,
58,473,New Town High,1102,320,58,378,34.3,Y1819,724.0,
59,501,Fifth District Elem,320,34,11,45,14.06,Y1819,275.0,
60,601,Prettyboy Elem,441,19,3,22,4.99,Y1819,419.0,
61,701,Seventh District Elem,394,25,5,30,7.61,Y1819,364.0,
62,772,Hereford High,1273,72,11,83,6.52,Y1819,1190.0,
63,801,Sparks Elem,489,14,6,20,4.09,Y1819,469.0,
64,803,Lutherville Laboratory,381,60,2,62,16.27,Y1819,319.0,
65,805,Timonium Elem,490,48,7,55,11.22,Y1819,435.0,
66,808,Pot Springs Elem,483,169,30,199,41.2,Y1819,284.0,
67,809,Riderwood Elem,406,15,0,15,3.69,Y1819,391.0,
68,810,Padonia International,517,283,66,349,67.5,Y1819,168.0,
69,811,Pinewood Elem,556,25,5,30,5.4,Y1819,526.0,
70,813,Warren Elem,422,153,35,188,44.55,Y1819,234.0,
71,814,Mays Chapel Elem,748,148,35,183,24.47,Y1819,565.0,
72,852,Ridgely Middle,1164,105,16,121,10.4,Y1819,1043.0,
73,853,Cockeysville Middle,942,244,55,299,31.74,Y1819,643.0,
74,855,Hereford Middle,1008,40,12,52,5.16,Y1819,956.0,
75,872,Dulaney High,1880,278,60,338,17.98,Y1819,1542.0,
76,905,Stoneleigh Elem,800,94,15,109,13.63,Y1819,691.0,
77,907,Rodgers Forge Elem,454,12,3,15,3.3,Y1819,439.0,
78,908,Villa Cresta Elem,697,200,27,227,32.57,Y1819,470.0,
79,909,Pleasant Plains Elem,699,364,47,411,58.8,Y1819,288.0,
80,910,Oakleigh Elem,588,307,40,347,59.01,Y1819,241.0,
81,911,Hampton Elem,579,95,20,115,19.86,Y1819,464.0,
82,912,Halstead Academy,491,327,44,371,75.56,Y1819,120.0,
83,915,Harford Hills Elem,414,148,37,185,44.69,Y1819,229.0,
84,916,Cromwell Valley Reg Magnet,362,73,18,91,25.14,Y1819,271.0,
85,921,Pine Grove Elem,608,150,33,183,30.1,Y1819,425.0,
86,922,Ridge Ruxton School,127,47,9,56,44.09,Y1819,71.0,
87,923,White Oak School,108,45,13,58,53.7,Y1819,50.0,
88,925,West Towson Elem,480,17,5,22,4.58,Y1819,458.0,
89,953,Dumbarton Middle,1188,184,39,223,18.77,Y1819,965.0,
90,954,Loch Raven Technical Acad,774,348,65,413,53.36,Y1819,361.0,
91,957,Pine Grove Middle,924,282,60,342,37.01,Y1819,582.0,
92,971,Towson High,1633,174,49,223,13.66,Y1819,1410.0,
93,972,Parkville High,1914,755,125,880,45.98,Y1819,1034.0,
94,973,Loch Raven High,869,245,53,298,34.29,Y1819,571.0,
95,975,George Washington Carver Ctr,942,104,51,155,16.45,Y1819,787.0,
96,1001,Carroll Manor Elem,376,15,1,16,4.26,Y1819,360.0,
97,1002,Jacksonville Elem,537,15,4,19,3.54,Y1819,518.0,
98,1104,Kingsville Elem,317,16,4,20,6.31,Y1819,297.0,
99,1105,Perry Hall Elem,652,187,66,253,38.8,Y1819,399.0,
100,1106,Carney Elem,639,275,54,329,51.49,Y1819,310.0,
101,1107,Chapel Hill Elem,679,47,22,69,10.16,Y1819,610.0,
102,1109,Joppaview Elem,804,199,54,253,31.47,Y1819,551.0,
