,Site_Num,Site_Name,Enrollment,Free,Reduced,TotalFR,FRPercent,Year,Paid,CEP
103,1110,Seven Oaks Elem,511,98,31,129,25.24,Y1819,382.0,
104,1111,Gunpowder Elem,530,68,21,89,16.79,Y1819,441.0,
105,1113,Honeygo Elem,639,84,21,105,16.43,Y1819,534.0,
106,1151,Perry Hall Middle,1885,385,117,502,26.63,Y1819,1383.0,
107,1171,Perry Hall High,1975,431,105,536,27.14,Y1819,1439.0,
108,1202,Dundalk Elem,733,491,43,534,72.85,Y1819,199.0,
109,1205,Berkshire Elem,488,295,32,327,67.01,Y1819,161.0,
110,1206,Bear Creek Elem,497,266,47,313,62.98,Y1819,184.0,
111,1207,Norwood Elem,492,293,42,335,68.09,Y1819,157.0,
112,1210,Grange Elem,495,254,32,286,57.78,Y1819,209.0,
113,1212,Charlesmont Elem,445,232,32,264,59.33,Y1819,181.0,
114,1215,Battle Monument School,74,34,5,39,52.7,Y1819,35.0,
115,1216,Sandy Plains Elem,575,370,46,416,72.35,Y1819,159.0,
116,1217,Logan Elem,584,382,58,440,75.34,Y1819,144.0,
117,1251,Dundalk Middle,728,495,0,495,67.99,Y1819,233.0,
118,1253,Holabird Middle,963,541,96,637,66.15,Y1819,326.0,
119,1255,Gen John Stricker Middle,728,418,63,481,66.07,Y1819,247.0,
120,1272,Patapsco High And Ctr For Arts,1447,613,145,758,52.38,Y1819,689.0,
121,1273,Dundalk High,1634,864,0,864,52.88,Y1819,770.0,
122,1302,Arbutus Elem,420,202,25,227,54.05,Y1819,193.0,
123,1307,Baltimore Highlands Elem,560,393,41,434,77.5,Y1819,126.0,
124,1308,Riverview Elem,568,452,0,452,79.58,Y1819,116.0,
125,1310,Relay Elem,707,263,46,309,43.71,Y1819,398.0,
126,1311,Lansdowne Elem,604,366,54,420,69.54,Y1819,184.0,
127,1313,Halethorpe Elem,406,244,33,277,68.23,Y1819,129.0,
128,1351,Lansdowne Middle,802,506,78,584,72.82,Y1819,218.0,
129,1356,Arbutus Middle,972,362,54,416,42.8,Y1819,556.0,
130,1371,Lansdowne High And Bus Adm,1309,580,89,669,51.11,Y1819,640.0,
131,1403,Mccormick Elem,333,204,16,220,66.07,Y1819,113.0,
132,1404,Fullerton Elem,621,222,48,270,43.48,Y1819,351.0,
133,1405,Elmwood Elem,608,336,47,383,62.99,Y1819,225.0,
134,1406,Red House Run Elem,568,276,58,334,58.8,Y1819,234.0,
135,1409,Shady Springs Elem,624,368,67,435,69.71,Y1819,189.0,
136,1451,Golden Ring Middle,762,409,81,490,64.3,Y1819,272.0,
137,1452,Parkville Middle,1180,419,74,493,41.78,Y1819,687.0,
138,1473,Overlea High,987,429,79,508,51.47,Y1819,479.0,
139,1502,Edgemere Elem,497,156,32,188,37.83,Y1819,309.0,
140,1503,Colgate Elem,425,268,45,313,73.65,Y1819,112.0,
141,1505,Victory Villa Elem,688,389,76,465,67.59,Y1819,223.0,
142,1506,Martin Blvd Elem,296,184,26,210,70.95,Y1819,86.0,
143,1507,Chase Elem,405,216,24,240,59.26,Y1819,165.0,
144,1508,Essex Elem,521,258,36,294,56.43,Y1819,227.0,
145,1511,Chesapeake Terrace Elem,315,90,24,114,36.19,Y1819,201.0,
146,1512,Mars Estates Elem,389,235,31,266,68.38,Y1819,123.0,
147,1513,Sussex Elem,497,303,41,344,69.22,Y1819,153.0,
148,1514,Middlesex Elem,419,243,38,281,67.06,Y1819,138.0,
149,1515,Hawthorne Elem,506,414,0,414,81.82,Y1819,92.0,
150,1517,Battle Grove Elem,354,218,31,249,70.34,Y1819,105.0,
151,1518,Glenmar Elem,323,159,31,190,58.82,Y1819,133.0,
152,1519,Orems Elem,389,158,43,201,51.67,Y1819,188.0,
153,1520,Middleborough Elem,349,124,18,142,40.69,Y1819,207.0,
154,1525,Deep Creek Elem,486,350,34,384,79.01,Y1819,102.0,
155,1527,Sandalwood Elem,550,399,51,450,81.82,Y1819,100.0,
156,1531,Seneca Elem,459,220,28,248,54.03,Y1819,211.0,
157,1533,Vincent Farm Elementary,761,239,49,288,37.84,Y1819,473.0,
158,1534,Oliver Beach Elem,199,40,15,55,27.64,Y1819,144.0,
159,1554,Stemmers Run Middle,756,377,64,441,58.33,Y1819,315.0,
160,1556,Middle River Middle,949,489,98,587,61.85,Y1819,362.0,
161,1557,Deep Creek Middle,811,487,91,578,71.27,Y1819,233.0,
162,1559,Sparrows Point Middle,629,219,39,258,41.02,Y1819,371.0,
163,1572,Kenwood High,1614,721,113,834,51.67,Y1819,780.0,
164,1573,Sparrows Point High,991,248,77,325,32.8,Y1819,666.0,
165,1574,Chesapeake High,984,495,105,600,60.98,Y1819,384.0,
166,1575,Eastern Technical High,1173,198,66,264,22.51,Y1819,909.0,
0,62,Campfield Ely Chhd Lrn/Dev,426,196,36,232,54.46,Y1920,194.0,
1,69,Catonsville Ctr Alt Studies,77,35,0,35,45.45,Y1920,42.0,
2,70,Meadowood Educ Ctr,38,22,3,25,65.79,Y1920,13.0,
3,72,Rosedale Center,82,53,6,59,71.95,Y1920,23.0,
4,75,Crossroads Center,183,99,10,109,59.56,Y1920,74.0,
5,101,Catonsville Elem,674,238,39,277,41.1,Y1920,397.0,
6,102,Westchester Elem,735,148,20,168,22.86,Y1920,567.0,
7,103,Westowne Elem,712,273,35,308,43.26,Y1920,404.0,
8,104,Edmondson Heights Elem,527,316,36,352,66.79,Y1920,175.0,
9,105,Johnnycake Elem,696,386,88,474,68.1,Y1920,222.0,
10,111,Maiden Choice School,138,74,13,87,63.04,Y1920,51.0,
11,112,Dogwood Elem,694,349,70,419,60.37,Y1920,275.0,
12,113,Chadwick Elem,642,381,74,455,70.87,Y1920,187.0,
13,115,Hillcrest Elem,713,181,27,208,29.17,Y1920,505.0,
14,116,Woodbridge Elem,459,209,32,241,52.51,Y1920,218.0,
15,151,Catonsville Middle,859,155,40,195,22.7,Y1920,664.0,
16,155,Southwest Academy,826,412,79,491,59.44,Y1920,335.0,
17,172,Woodlawn High Ctr For Preeng,1670,740,133,873,52.28,Y1920,797.0,
18,174,Catonsville High,1828,429,93,522,28.56,Y1920,1306.0,
19,175,Western Sch Of Tech/Env Sci,892,184,90,274,30.72,Y1920,618.0,
20,202,Randallstown Elem,398,199,44,243,61.06,Y1920,155.0,
21,204,Featherbed Lane Elem,579,349,38,387,66.84,Y1920,192.0,
22,205,Woodmoor Elem,633,318,59,377,59.56,Y1920,256.0,
23,206,Scotts Branch Elem,543,309,51,360,66.3,Y1920,183.0,
24,207,Church Lane Elem Of Tech,372,199,27,226,60.75,Y1920,146.0,
25,209,Hebbville Elem,535,268,48,316,59.07,Y1920,219.0,
26,210,Powhatan Elem,250,128,31,159,63.6,Y1920,91.0,
27,211,Winfield Elem,505,292,59,351,69.5,Y1920,154.0,
28,213,Winand Elem,475,196,36,232,48.84,Y1920,243.0,
29,214,Hernwood Elem,379,208,25,233,61.48,Y1920,146.0,
30,216,Deer Park Elem,407,178,37,215,52.83,Y1920,192.0,
31,217,New Town Elem,830,272,36,308,37.11,Y1920,522.0,
32,219,Watershed Public Charter,154,27,8,35,22.73,Y1920,119.0,
33,252,Nw Acad Of Health Sciences,789,366,72,438,55.51,Y1920,351.0,
34,253,Woodlawn Middle,620,381,62,443,71.45,Y1920,177.0,
35,254,Deer Park Middle And Mgnt,1367,505,140,645,47.18,Y1920,722.0,
36,256,Windsor Mill Middle,681,312,58,370,54.33,Y1920,311.0,
37,271,Milford Mill Academy,1248,493,104,597,47.84,Y1920,651.0,
38,272,Randallstown High,1054,402,81,483,45.83,Y1920,571.0,
39,303,Bedford Elem,334,190,46,236,70.66,Y1920,98.0,
40,304,Wellwood International Mgnt,502,157,29,186,37.05,Y1920,316.0,
41,307,Milbrook Elem,404,224,38,262,64.85,Y1920,142.0,
42,308,Fort Garrison Elem,328,29,2,31,9.45,Y1920,297.0,
43,310,Summit Park Elem,474,54,8,62,13.08,Y1920,412.0,
44,311,Woodholme Elementary,718,380,67,447,62.26,Y1920,271.0,
45,352,Pikesville Middle,970,385,92,477,49.18,Y1920,493.0,
46,353,Sudbrook Magnet Middle,1007,324,95,419,41.61,Y1920,588.0,
47,371,Pikesville High,931,241,54,295,31.69,Y1920,636.0,
48,402,Owings Mills Elem,800,428,70,498,62.25,Y1920,302.0,
49,403,Franklin Elem,426,76,23,99,23.24,Y1920,327.0,
50,404,Chatsworth School,370,97,21,118,31.89,Y1920,252.0,
51,405,Timber Grove Elem,579,280,45,325,56.13,Y1920,254.0,
52,406,Reisterstown Elem,564,274,45,319,56.56,Y1920,245.0,
53,407,Glyndon Elem,561,324,57,381,67.91,Y1920,180.0,
54,408,Cedarmere Elem,548,235,58,293,53.47,Y1920,255.0,
55,410,Lyons Mills Elem,765,193,35,228,29.8,Y1920,537.0,
56,451,Franklin Middle,1242,458,99,557,44.85,Y1920,685.0,
57,452,Owings Mills High,1211,505,80,585,48.31,Y1920,626.0,
58,472,Franklin High,1515,400,87,487,32.15,Y1920,1028.0,
59,473,New Town High,1176,344,88,432,36.73,Y1920,744.0,
60,501,Fifth District Elem,327,22,10,32,9.79,Y1920,295.0,
61,601,Prettyboy Elem,427,21,1,22,5.15,Y1920,405.0,
62,701,Seventh District Elem,404,30,4,34,8.42,Y1920,370.0,
63,772,Hereford High,1297,59,17,76,5.86,Y1920,1221.0,
64,801,Sparks Elem,509,27,4,31,6.09,Y1920,478.0,
65,803,Lutherville Laboratory,371,65,13,78,21.02,Y1920,293.0,
66,805,Timonium Elem,481,38,10,48,9.98,Y1920,433.0,
67,808,Pot Springs Elem,481,170,25,195,40.54,Y1920,286.0,
68,809,Riderwood Elem,454,16,5,21,4.63,Y1920,433.0,
69,810,Padonia International,531,307,67,374,70.43,Y1920,157.0,
70,811,Pinewood Elem,596,39,7,46,7.72,Y1920,550.0,
71,813,Warren Elem,408,141,41,182,44.61,Y1920,226.0,
72,814,Mays Chapel Elem,737,148,41,189,25.64,Y1920,548.0,
73,852,Ridgely Middle,1120,100,33,133,11.88,Y1920,987.0,
74,853,Cockeysville Middle,910,242,57,299,32.86,Y1920,611.0,
75,855,Hereford Middle,973,38,14,52,5.34,Y1920,921.0,
76,872,Dulaney High,1924,274,66,340,17.67,Y1920,1584.0,
77,905,Stoneleigh Elem,748,84,15,99,13.24,Y1920,649.0,
78,907,Rodgers Forge Elem,463,12,5,17,3.67,Y1920,446.0,
79,908,Villa Cresta Elem,717,214,37,251,35.01,Y1920,466.0,
80,909,Pleasant Plains Elem,707,376,70,446,63.08,Y1920,261.0,
81,910,Oakleigh Elem,570,317,44,361,63.33,Y1920,209.0,
82,911,Hampton Elem,607,96,12,108,17.79,Y1920,499.0,
83,912,Halstead Academy,522,346,60,406,77.78,Y1920,116.0,
84,915,Harford Hills Elem,362,118,36,154,42.54,Y1920,208.0,
85,916,Cromwell Valley Reg Magnet,376,72,21,93,24.73,Y1920,283.0,
86,921,Pine Grove Elem,609,160,29,189,31.03,Y1920,420.0,
87,922,Ridge Ruxton School,124,45,6,51,41.13,Y1920,73.0,
88,923,White Oak School,94,46,7,53,56.38,Y1920,41.0,
89,925,West Towson Elem,490,17,8,25,5.1,Y1920,465.0,
90,953,Dumbarton Middle,1224,198,37,235,19.2,Y1920,989.0,
91,954,Loch Raven Technical Acad,826,398,88,486,58.84,Y1920,340.0,
92,957,Pine Grove Middle,955,293,62,355,37.17,Y1920,600.0,
93,971,Towson High,1626,167,48,215,13.22,Y1920,1411.0,
94,972,Parkville High,2116,905,164,1069,50.52,Y1920,1047.0,
95,973,Loch Raven High,864,250,59,309,35.76,Y1920,555.0,
96,975,George Washington Carver Ctr,961,102,59,161,16.75,Y1920,800.0,
97,1001,Carroll Manor Elem,388,12,2,14,3.61,Y1920,374.0,
98,1002,Jacksonville Elem,549,14,6,20,3.64,Y1920,529.0,
99,1104,Kingsville Elem,327,14,9,23,7.03,Y1920,304.0,
100,1105,Perry Hall Elem,632,178,40,218,34.49,Y1920,414.0,
101,1106,Carney Elem,642,289,52,341,53.12,Y1920,301.0,
102,1107,Chapel Hill Elem,650,56,16,72,11.08,Y1920,578.0,
103,1109,Joppaview Elem,746,200,51,251,33.65,Y1920,495.0,
104,1110,Seven Oaks Elem,477,105,23,128,26.83,Y1920,349.0,
105,1111,Gunpowder Elem,544,92,20,112,20.59,Y1920,432.0,
106,1113,Honeygo Elem,683,84,28,112,16.4,Y1920,571.0,
107,1151,Perry Hall Middle,1929,427,113,540,27.99,Y1920,1389.0,
108,1171,Perry Hall High,1965,471,125,596,30.33,Y1920,1369.0,
109,1202,Dundalk Elem,795,536,51,587,73.84,Y1920,208.0,
110,1205,Berkshire Elem,486,313,33,346,71.19,Y1920,140.0,
111,1206,Bear Creek Elem,495,273,54,327,66.06,Y1920,168.0,
112,1207,Norwood Elem,506,313,43,356,70.36,Y1920,150.0,
113,1210,Grange Elem,485,228,49,277,57.11,Y1920,208.0,
114,1212,Charlesmont Elem,385,190,28,218,56.62,Y1920,167.0,
115,1215,Battle Monument School,63,32,5,37,58.73,Y1920,26.0,
116,1216,Sandy Plains Elem,597,392,58,450,75.38,Y1920,147.0,
117,1217,Logan Elem,561,364,48,412,73.44,Y1920,149.0,
118,1251,Dundalk Middle,809,491,0,491,60.69,Y1920,318.0,
119,1253,Holabird Middle,978,564,95,659,67.38,Y1920,319.0,
120,1255,Gen John Stricker Middle,794,437,76,513,64.61,Y1920,281.0,
121,1272,Patapsco High And Ctr For Arts,1433,582,151,733,51.15,Y1920,700.0,
122,1273,Dundalk High,1801,894,0,894,49.64,Y1920,907.0,
123,1302,Arbutus Elem,401,182,29,211,52.62,Y1920,190.0,
124,1307,Baltimore Highlands Elem,555,398,48,446,80.36,Y1920,109.0,
125,1308,Riverview Elem,568,396,0,396,69.72,Y1920,172.0,
126,1310,Relay Elem,663,239,37,276,41.63,Y1920,387.0,
127,1311,Lansdowne Elem,637,382,52,434,68.13,Y1920,203.0,
128,1313,Halethorpe Elem,371,197,29,226,60.92,Y1920,145.0,
129,1351,Lansdowne Middle,875,545,66,611,69.83,Y1920,264.0,
130,1356,Arbutus Middle,946,362,68,430,45.45,Y1920,516.0,
131,1371,Lansdowne High And Bus Adm,1332,593,103,696,52.25,Y1920,636.0,
132,1403,Mccormick Elem,349,202,19,221,63.32,Y1920,128.0,
133,1404,Fullerton Elem,627,228,50,278,44.34,Y1920,349.0,
134,1405,Elmwood Elem,577,292,52,344,59.62,Y1920,233.0,
135,1406,Red House Run Elem,595,305,52,357,60.0,Y1920,238.0,
136,1409,Shady Springs Elem,591,362,74,436,73.77,Y1920,155.0,
137,1451,Golden Ring Middle,798,423,73,496,62.16,Y1920,302.0,
138,1452,Parkville Middle,1131,395,99,494,43.68,Y1920,637.0,
139,1473,Overlea High,1024,457,86,543,53.03,Y1920,481.0,
140,1502,Edgemere Elem,477,132,25,157,32.91,Y1920,320.0,
141,1503,Colgate Elem,442,299,33,332,75.11,Y1920,110.0,
142,1505,Victory Villa Elem,708,417,65,482,68.08,Y1920,226.0,
143,1506,Martin Blvd Elem,299,192,33,225,75.25,Y1920,74.0,
144,1507,Chase Elem,395,218,35,253,64.05,Y1920,142.0,
145,1508,Essex Elem,499,220,45,265,53.11,Y1920,234.0,
146,1511,Chesapeake Terrace Elem,290,86,12,98,33.79,Y1920,192.0,
147,1512,Mars Estates Elem,391,231,44,275,70.33,Y1920,116.0,
148,1513,Sussex Elem,455,285,42,327,71.87,Y1920,128.0,
149,1514,Middlesex Elem,419,274,37,311,74.22,Y1920,108.0,
150,1515,Hawthorne Elem,525,419,0,419,79.81,Y1920,106.0,
151,1517,Battle Grove Elem,354,197,32,229,64.69,Y1920,125.0,
152,1518,Glenmar Elem,323,152,42,194,60.06,Y1920,129.0,
153,1519,Orems Elem,400,193,24,217,54.25,Y1920,183.0,
154,1520,Middleborough Elem,354,122,21,143,40.4,Y1920,211.0,
155,1525,Deep Creek Elem,462,334,43,377,81.6,Y1920,85.0,
156,1527,Sandalwood Elem,533,388,67,455,85.37,Y1920,78.0,
157,1531,Seneca Elem,431,209,39,248,57.54,Y1920,183.0,
158,1533,Vincent Farm Elementary,777,207,66,273,35.14,Y1920,504.0,
159,1534,Oliver Beach Elem,190,36,7,43,22.63,Y1920,147.0,
160,1554,Stemmers Run Middle,794,408,56,464,58.44,Y1920,330.0,
161,1556,Middle River Middle,1036,490,110,600,57.92,Y1920,436.0,
162,1557,Deep Creek Middle,902,520,92,612,67.85,Y1920,290.0,
163,1559,Sparrows Point Middle,638,223,42,265,41.54,Y1920,373.0,
164,1572,Kenwood High,1650,739,117,856,51.88,Y1920,794.0,
165,1573,Sparrows Point High,1064,279,71,350,32.89,Y1920,714.0,
166,1574,Chesapeake High,971,447,114,561,57.78,Y1920,410.0,
167,1575,Eastern Technical High,1169,176,85,261,22.33,Y1920,908.0,
0,1302,Arbutus Elementary,371,270,0,270,72.78,Y2122,101.0,Yes
1,1356,Arbutus Middle,987,484,55,539,54.6,Y2122,448.0, No
2,1307,Baltimore Highlands Element,497,363,0,363,73.04,Y2122,134.0,Yes
3,1517,Battle Grove Elementary,325,265,0,265,81.54,Y2122,60.0,Yes
4,1215,Battle Monument School,53,33,0,33,62.26,Y2122,20.0,Yes
5,1206,Bear Creek Elementary,483,411,0,411,85.09,Y2122,72.0,Yes
6,303,Bedford Elementary,286,215,0,215,75.17,Y2122,71.0,Yes
7,1205,Berkshire Elementary,430,367,0,367,85.35,Y2122,63.0,Yes
8,62,Campfield Early Childhood Ct,373,244,0,244,65.42,Y2122,129.0,Yes
9,1106,Carney Elementary,604,486,0,486,80.46,Y2122,118.0,Yes
10,1001,Carroll Manor Elementary,345,13,1,14,4.0,Y2122,331.0, No
11,69,Catonsville Ctr For Alter Stud,21,19,0,19,90.48,Y2122,2.0,Yes
12,101,Catonsville Elementary,658,276,17,293,44.5,Y2122,365.0, No
13,174,Catonsville High,1774,586,83,669,37.7,Y2122,1105.0, No
14,151,Catonsville Middle,734,225,23,248,33.7,Y2122,486.0, No
15,408,Cedarmere Elementary,530,225,29,254,47.9,Y2122,276.0, No
16,113,Chadwick Elementary,600,390,0,390,65.0,Y2122,210.0,Yes
17,1107,Chapel Hill Elementary,584,93,11,104,17.8,Y2122,480.0, No
18,1212,Charlesmont Elementary,359,291,0,291,81.06,Y2122,68.0,Yes
19,1507,Chase Elementary,363,224,0,224,61.71,Y2122,139.0,Yes
20,404,Chatsworth School,311,92,12,104,33.4,Y2122,207.0, No
21,1574,Chesapeake High,961,672,0,672,69.93,Y2122,289.0,Yes
22,1511,Chesapeake Terrace Elementar,307,93,3,96,31.2,Y2122,211.0, No
23,207,Church Lane Elementary,329,230,0,230,69.91,Y2122,99.0,Yes
24,853,Cockeysville Middle,818,312,37,349,42.6,Y2122,469.0, No
25,1503,Colgate Elementary,497,321,0,321,64.59,Y2122,176.0,Yes
26,916,Cromwell Valley School Of Te,378,110,11,121,32.0,Y2122,257.0, No
27,75,Crossroads Center,151,119,0,119,78.81,Y2122,32.0,Yes
28,1525,Deep Creek Elementary,417,417,0,417,100.0,Y2122,0.0,Yes
29,1557,Deep Creek Middle,846,783,0,783,92.55,Y2122,63.0,Yes
30,216,Deer Park Elementary,437,299,0,299,68.42,Y2122,138.0,Yes
31,254,Deer Park Middle & Magnet Sc,1512,953,0,953,63.03,Y2122,559.0,Yes
32,112,Dogwood Elementary,499,438,0,438,87.78,Y2122,61.0,Yes
33,872,Dulaney High,1839,409,67,476,25.8,Y2122,1363.0, No
34,953,Dumbarton Middle,1062,233,33,266,25.0,Y2122,796.0, No
35,1202,Dundalk Elementary,765,675,0,675,88.24,Y2122,90.0,Yes
36,1273,Dundalk High,1961,1278,0,1278,65.17,Y2122,683.0,Yes
37,1251,Dundalk Middle,820,587,0,587,71.59,Y2122,233.0,Yes
38,1575,Eastern Technical High,1203,232,63,295,24.5,Y2122,908.0, No
39,1502,Edgemere Elementary,390,144,15,159,40.7,Y2122,231.0, No
40,104,Edmondson Heights Elementa,524,430,0,430,82.06,Y2122,94.0,Yes
41,1405,Elmwood Elementary,519,404,0,404,77.84,Y2122,115.0,Yes
42,1508,Essex Elementary,449,230,28,258,57.4,Y2122,191.0, No
43,204,Featherbed Lane Elementary,546,447,0,447,81.87,Y2122,99.0,Yes
44,501,Fifth District Elementary,284,35,4,39,13.7,Y2122,245.0, No
45,403,Franklin Elementary,387,101,10,111,28.6,Y2122,276.0, No
46,472,Franklin High,1424,566,88,654,45.9,Y2122,770.0, No
47,451,Franklin Middle,1156,614,66,680,58.8,Y2122,476.0, No
48,308,Ft Garrison Elementary,281,34,2,36,12.8,Y2122,245.0, No
49,1404,Fullerton Elementary,551,232,23,255,46.2,Y2122,296.0, No
50,1255,Genl John Stricker Middle,794,664,0,664,83.63,Y2122,130.0,Yes
51,975,George Washington Carver Ct,991,207,36,243,24.5,Y2122,748.0, No
52,1518,Glenmar Elementary,280,195,0,195,69.64,Y2122,85.0,Yes
53,407,Glyndon Elementary,502,324,0,324,64.54,Y2122,178.0,Yes
54,1451,Golden Ring Middle,871,630,0,630,72.33,Y2122,241.0,  Yes
55,1210,Grange Elementary,443,343,0,343,77.43,Y2122,100.0,  Yes
56,1111,Gunpowder Elementary,493,124,10,134,27.1,Y2122,359.0, No
57,1313,Halethorpe Elementary,258,185,0,185,71.71,Y2122,73.0,  Yes
58,912,Halstead Academy,495,468,0,468,94.55,Y2122,27.0,  Yes
59,911,Hampton Elementary,675,189,11,200,29.6,Y2122,475.0, No
60,915,Harford Hills Elementary,391,176,17,193,49.3,Y2122,198.0, No
61,1515,Hawthorne Elementary,460,460,0,460,100.0,Y2122,0.0,  Yes
62,209,Hebbville Elementary,467,297,0,297,63.6,Y2122,170.0,  Yes
63,772,Hereford High,1260,75,10,85,6.7,Y2122,1175.0, No
64,855,Hereford Middle,888,73,9,82,9.2,Y2122,806.0, No
65,214,Hernwood Elementary,337,249,0,249,73.89,Y2122,88.0,  Yes
66,115,Hillcrest Elementary,655,174,16,190,29.0,Y2122,465.0, No
67,1253,Holabird Middle,931,699,0,699,75.08,Y2122,232.0,  Yes
68,1113,Honeygo Elementary,685,127,15,142,20.7,Y2122,543.0, No
69,1002,Jacksonville Elementary,473,13,2,15,3.1,Y2122,458.0, No
70,105,Johnnycake Elementary,520,393,0,393,75.58,Y2122,127.0,  Yes
71,1109,Joppa View Elementary,670,251,37,288,42.9,Y2122,382.0, No
72,1572,Kenwood High,1775,1279,0,1279,72.06,Y2122,496.0,  Yes
73,1104,Kingsville Elementary,294,32,1,33,11.2,Y2122,261.0, No
74,1311,Lansdowne Elementary,556,425,0,425,76.44,Y2122,131.0,  Yes
75,1371,Lansdowne High,1321,743,0,743,56.25,Y2122,578.0,  Yes
76,1351,Lansdowne Middle,865,617,0,617,71.33,Y2122,248.0,  Yes
77,973,Loch Raven High,845,397,41,438,51.8,Y2122,407.0, No
78,954,Loch Raven Tech Academy,765,537,0,537,70.2,Y2122,228.0,  Yes
79,1217,Logan Elementary,504,468,0,468,92.86,Y2122,36.0,  Yes
80,803,Lutherville Lab‐Science/Math/,340,82,6,88,25.8,Y2122,252.0, No
81,410,Lyons Mill Elementary,645,279,16,295,45.7,Y2122,350.0, No
82,111,Maiden Choice School,124,88,0,88,70.97,Y2122,36.0,  Yes
83,1512,Mars Estates Elementary,329,286,0,286,86.93,Y2122,43.0,  Yes
84,1506,Martin Blvd Elementary,255,225,0,225,88.24,Y2122,30.0,  Yes
85,814,Mays Chapel Elementary,580,132,17,149,25.6,Y2122,431.0, No
86,1403,Mccormick Elementary,302,287,0,287,95.03,Y2122,15.0,  Yes
87,70,Meadowood Education Ctr,5,1,0,1,20.0,Y2122,4.0,  Yes
88,1556,Middle River Middle,1045,702,0,702,67.18,Y2122,343.0,  Yes
89,1520,Middleborough Elementary,323,142,9,151,46.7,Y2122,172.0, No
90,1514,Middlesex Elementary,380,316,0,316,83.16,Y2122,64.0,  Yes
91,307,Milbrook Elementary,329,225,0,225,68.39,Y2122,104.0,  Yes
92,271,Milford Mill Academy,1272,822,0,822,64.62,Y2122,450.0,  Yes
93,217,New Town Elementary,829,392,30,422,50.9,Y2122,407.0, No
94,473,New Town High,1314,663,87,750,57.0,Y2122,564.0, No
95,252,Northwest Academy Of Health,739,513,0,513,69.42,Y2122,226.0,  Yes
96,1207,Norwood Elementary,465,339,0,339,72.9,Y2122,126.0,  Yes
97,910,Oakleigh Elementary,495,404,0,404,81.62,Y2122,91.0,  Yes
98,1534,Oliver Beach Elementary,145,44,2,46,31.7,Y2122,99.0, No
99,1519,Orems Elementary,359,249,0,249,69.36,Y2122,110.0,  Yes
100,1473,Overlea High,1266,937,0,937,74.01,Y2122,329.0,  Yes
101,402,Owings Mills Elementary,744,464,0,464,62.37,Y2122,280.0,  Yes
102,452,Owings Mills High,1106,614,70,684,61.8,Y2122,422.0, No
103,810,Padonia International Elemen,528,295,24,319,60.4,Y2122,209.0, No
104,972,Parkville High,2112,1176,132,1308,61.9,Y2122,804.0, No
105,1452,Parkville Middle,1036,479,59,538,51.9,Y2122,498.0, No
106,1272,Patapsco High & Ctr For The Ar,1337,876,0,876,65.52,Y2122,461.0,  Yes
107,1105,Perry Hall Elementary,540,195,25,220,40.7,Y2122,320.0, No
108,1171,Perry Hall High,1957,725,92,817,41.7,Y2122,1140.0, No
109,1151,Perry Hall Middle,1797,551,84,635,35.3,Y2122,1162.0, No
110,371,Pikesville High,880,328,45,373,42.3,Y2122,507.0, No
111,352,Pikesville Middle,943,536,0,536,56.84,Y2122,407.0,  Yes
112,921,Pine Grove Elementary,541,169,14,183,33.8,Y2122,358.0, No
113,957,Pine Grove Middle,898,407,41,448,49.8,Y2122,450.0, No
114,811,Pinewood Elementary,538,47,5,52,9.6,Y2122,486.0, No
115,909,Pleasant Plains Elementary,535,393,0,393,73.46,Y2122,142.0,  Yes
116,808,Pot Spring Elementary,431,178,11,189,43.8,Y2122,242.0, No
117,210,Powhatan Elementary,237,180,0,180,75.95,Y2122,57.0,  Yes
118,601,Prettyboy Elementary,394,23,1,24,6.0,Y2122,370.0, No
119,202,Randallstown Elementary,337,236,0,236,70.03,Y2122,101.0,  Yes
120,272,Randallstown High,1126,593,84,677,60.1,Y2122,449.0, No
121,1406,Red House Run Elementary,568,353,0,353,62.15,Y2122,215.0,  Yes
122,406,Reisterstown Elementary,493,255,20,275,55.7,Y2122,218.0, No
123,1310,Relay Elementary,589,283,15,298,50.5,Y2122,291.0, No
124,809,Riderwood Elementary,370,22,5,27,7.3,Y2122,343.0, No
125,922,Ridge Ruxton School,100,43,3,46,46.0,Y2122,54.0, No
126,852,Ridgely Middle,1041,156,13,169,16.2,Y2122,872.0, No
127,1308,Riverview Elementary,549,479,0,479,87.25,Y2122,70.0,  Yes
128,907,Rodgers Forge Elementary,386,27,4,31,8.0,Y2122,355.0, No
129,72,Rosedale Center,18,18,0,18,100.0,Y2122,0.0,  Yes
130,1527,Sandalwood Elementary,459,459,0,459,100.0,Y2122,0.0,  Yes
131,1216,Sandy Plains Elementary,507,470,0,470,92.7,Y2122,37.0,  Yes
132,206,Scotts Branch Elementary,458,323,0,323,70.52,Y2122,135.0,  Yes
133,1531,Seneca Elementary,356,260,0,260,73.03,Y2122,96.0,  Yes
134,1110,Seven Oaks Elementary,466,141,19,160,34.3,Y2122,306.0, No
135,701,Seventh District Elementary,322,21,3,24,7.4,Y2122,298.0, No
136,1409,Shady Spring Elementary,504,356,0,356,70.63,Y2122,148.0,  Yes
137,155,Southwest Academy,778,500,0,500,64.27,Y2122,278.0,  Yes
138,801,Sparks Elementary,471,33,2,35,7.4,Y2122,436.0, No
139,1573,Sparrows Point High,1103,394,47,441,39.9,Y2122,662.0, No
140,1559,Sparrows Point Middle,551,239,23,262,47.5,Y2122,289.0, No
